"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst"
"r01c12f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c12f04p07-ch1sk1fk1fl1","07"
"r01c12f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c12f05p07-ch1sk1fk1fl1","07"
"r01c13f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c13f01p07-ch1sk1fk1fl1","07"
"r01c13f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c13f02p07-ch1sk1fk1fl1","07"
"r01c13f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c13f03p07-ch1sk1fk1fl1","07"
"r01c13f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c13f04p07-ch1sk1fk1fl1","07"
"r01c13f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c13f05p07-ch1sk1fk1fl1","07"
"r01c14f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c14f01p07-ch1sk1fk1fl1","07"
"r01c14f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c14f02p07-ch1sk1fk1fl1","07"
"r01c14f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c14f03p07-ch1sk1fk1fl1","07"
"r01c14f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c14f04p07-ch1sk1fk1fl1","07"
"r01c14f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c14f05p07-ch1sk1fk1fl1","07"
"r01c15f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c15f01p07-ch1sk1fk1fl1","07"
"r01c15f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c15f02p07-ch1sk1fk1fl1","07"
"r01c15f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c15f03p07-ch1sk1fk1fl1","07"
"r01c15f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c15f04p07-ch1sk1fk1fl1","07"
"r01c15f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c15f05p07-ch1sk1fk1fl1","07"
"r01c16f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c16f01p07-ch1sk1fk1fl1","07"
"r01c16f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c16f02p07-ch1sk1fk1fl1","07"
"r01c16f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c16f03p07-ch1sk1fk1fl1","07"
"r01c16f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c16f04p07-ch1sk1fk1fl1","07"
"r01c16f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c16f05p07-ch1sk1fk1fl1","07"
"r01c17f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c17f01p07-ch1sk1fk1fl1","07"
"r01c17f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c17f02p07-ch1sk1fk1fl1","07"
"r01c17f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c17f03p07-ch1sk1fk1fl1","07"
"r01c17f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c17f04p07-ch1sk1fk1fl1","07"
"r01c17f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c17f05p07-ch1sk1fk1fl1","07"
"r01c18f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c18f01p07-ch1sk1fk1fl1","07"
"r01c18f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c18f02p07-ch1sk1fk1fl1","07"
"r01c18f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c18f03p07-ch1sk1fk1fl1","07"
"r01c18f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c18f04p07-ch1sk1fk1fl1","07"
"r01c18f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c18f05p07-ch1sk1fk1fl1","07"
"r01c19f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c19f01p07-ch1sk1fk1fl1","07"
"r01c19f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c19f02p07-ch1sk1fk1fl1","07"
"r01c19f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c19f03p07-ch1sk1fk1fl1","07"
"r01c19f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c19f04p07-ch1sk1fk1fl1","07"
"r01c19f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c19f05p07-ch1sk1fk1fl1","07"
"r01c20f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c20f01p07-ch1sk1fk1fl1","07"
"r01c20f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c20f02p07-ch1sk1fk1fl1","07"
"r01c20f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c20f03p07-ch1sk1fk1fl1","07"
"r01c20f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c20f04p07-ch1sk1fk1fl1","07"
"r01c21f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c21f01p07-ch1sk1fk1fl1","07"
"r01c21f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c21f02p07-ch1sk1fk1fl1","07"
"r01c21f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c21f03p07-ch1sk1fk1fl1","07"
"r01c21f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c21f04p07-ch1sk1fk1fl1","07"
"r01c21f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c21f05p07-ch1sk1fk1fl1","07"
"r01c22f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c22f02p07-ch1sk1fk1fl1","07"
"r01c22f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c22f04p07-ch1sk1fk1fl1","07"
